N,P,K,ph,moisture,fertility
58,112,123,5.96,74.24,Medium
69,76,143,7.31,43.06,High
139,130,101,5.21,38.55,Low
14,61,151,5.95,34.74,Medium
36,85,186,5.67,39.61,Medium
17,23,61,6.91,57.16,Medium
59,11,46,5.15,40.36,Medium
76,141,102,6.69,32.7,High
53,58,203,7.93,62.05,Medium
134,108,35,6.56,24.21,Low
67,90,184,7.23,24.14,Medium
12,86,6,4.8,58.75,Low
95,65,170,6.3,70.67,High
79,91,36,4.88,26.88,Low
139,6,142,6.9,23.38,Low
11,35,109,5.62,56.92,High
111,37,140,5.65,53.46,Medium
44,84,79,4.81,41.31,High
107,15,109,5.74,16.71,Low
39,132,152,6.53,16.42,Low
125,139,152,6.84,64.41,Low
17,132,131,4.77,41.62,Low
53,35,13,7.11,70.06,High
45,130,204,6.46,50.23,Medium
86,51,19,6.65,53.31,High
40,111,101,7.83,75.39,Medium
56,23,109,5.87,21.52,Medium
64,85,67,5.2,48.01,High
115,127,25,6.71,14.07,Low
130,138,9,8.28,35.12,Low
64,111,129,6.57,20.37,Low
21,53,167,7.83,23.15,Low
12,77,89,7.53,75.44,Medium
39,54,200,6.57,52.75,Medium
32,85,117,7.09,72.45,High
101,99,180,6.13,41.05,Low
124,16,84,6.62,51.84,Medium
113,27,194,6.53,12.25,Low
127,58,120,7.34,42.87,High
14,122,167,6.14,49.48,Low
113,63,202,4.9,11.17,Low
117,7,101,7.65,65.26,Low
74,62,25,7.24,30.68,High
130,61,84,8.3,41.67,Medium
39,94,43,6.21,47.49,Medium
93,59,166,4.81,79.45,Medium
41,49,125,4.99,16.94,Low
25,5,128,7.59,48.87,Low
47,25,147,4.77,47.14,Low
45,25,10,8.13,14.82,Low
123,56,198,5.63,54.38,Medium
75,86,60,8.1,30.08,High
114,71,53,7.59,17.26,Low
94,117,96,7.98,22.5,Low
11,48,133,5.36,67.65,Low
84,14,69,6.88,17.29,Medium
76,68,32,4.87,42.68,High
64,73,104,5.31,23.67,Medium
15,72,152,5.74,21.36,Low
95,32,180,7.46,24.4,Medium
69,120,76,4.6,44.49,Medium
110,55,69,8.11,26.65,Low
21,8,55,4.78,16.77,Low
58,83,175,6.01,66.1,High
51,21,53,4.82,47.79,Medium
91,112,157,7.58,20.98,Low
44,78,78,5.07,43.0,High
76,27,173,8.04,14.79,Low
89,22,203,6.62,50.63,Medium
16,133,196,8.29,33.82,Low
23,39,193,5.66,17.25,Low
82,68,16,6.32,22.86,Medium
75,63,108,7.28,34.2,High
100,5,85,7.83,66.45,Medium
139,135,201,6.19,22.16,Low
29,71,131,8.07,17.68,Low
19,41,18,4.97,46.12,Low
34,33,38,7.33,49.11,High
34,93,52,5.89,16.32,Low
63,104,65,4.91,29.91,Low
42,126,39,6.05,28.39,Medium
104,94,123,8.02,23.04,Low
23,136,69,8.42,32.09,Low
74,18,63,6.07,12.6,Medium
119,135,40,8.05,55.61,Low
89,89,151,6.54,79.19,High
63,25,46,7.37,54.38,High
134,30,73,4.68,35.28,Medium
34,45,151,6.73,56.75,Medium
126,126,111,4.78,50.01,Low
34,42,43,5.57,69.27,High
88,92,73,6.77,53.53,High
77,15,184,7.73,54.39,Low
21,33,16,6.74,25.52,Low
41,64,87,8.24,39.09,High
137,65,179,7.74,34.11,Low
105,26,40,5.12,10.8,Low
101,82,130,6.06,31.93,Medium
40,117,67,7.17,44.02,High
87,127,80,8.25,51.99,Medium
29,48,86,8.45,75.42,Medium
69,101,55,7.55,26.74,Low
102,81,47,6.8,20.67,Medium
52,144,38,7.53,70.86,Medium
139,59,101,5.59,75.93,High
69,55,53,5.63,44.16,High
40,106,150,7.12,18.07,Low
14,33,129,7.99,43.98,Low
19,73,193,8.38,17.66,Low
98,84,61,5.87,71.82,High
139,35,97,7.69,59.57,Medium
135,116,113,7.91,26.88,Low
20,50,9,6.99,72.07,Medium
65,101,28,5.89,54.65,Medium
92,56,196,6.98,76.73,High
108,142,63,6.84,78.63,Medium
82,78,42,6.93,10.23,High
124,45,165,6.98,18.41,Low
16,81,14,7.89,48.28,Low
89,135,169,5.18,76.91,Low
106,118,130,5.97,79.6,Low
13,56,15,6.84,49.72,Medium
13,91,28,5.63,22.17,Low
112,113,92,8.41,21.41,Low
49,73,203,5.55,63.47,High
26,124,118,6.38,51.44,Medium
110,71,25,8.01,48.41,Low
112,65,152,4.82,42.6,Low
133,75,14,7.78,60.76,Low
61,34,179,6.78,70.06,High
61,100,179,4.63,31.21,Low
133,60,147,8.11,25.46,Low
72,57,176,4.66,56.91,Medium
125,11,194,6.56,74.03,Low
71,101,138,4.7,34.37,Low
16,117,70,4.78,29.07,Low
101,129,126,8.05,25.83,Low
23,136,136,7.56,27.81,Low
95,125,27,5.29,19.45,Low
139,42,17,6.98,51.77,Medium
71,126,163,7.68,29.66,Low
88,30,20,8.06,53.05,Medium
67,133,45,6.37,15.81,Medium
129,8,5,8.09,18.08,Low
74,43,115,6.53,47.53,High
22,58,16,7.25,45.81,Medium
91,37,123,8.42,29.01,Low
61,24,188,5.44,67.9,Low
126,20,182,5.17,23.09,Low
35,131,24,5.87,35.25,Low
43,91,198,5.16,48.89,Low
61,86,40,5.64,70.7,High
121,66,83,7.47,39.3,High
91,35,170,6.41,37.9,High
51,46,154,6.0,50.57,High
30,16,112,5.97,32.17,Medium
51,69,193,5.28,59.64,Medium
122,77,182,6.29,27.41,Low
114,135,100,7.0,67.62,Medium
26,119,63,5.06,29.06,Low
129,141,24,8.39,79.49,Low
138,110,168,6.27,32.15,Low
139,20,130,8.29,71.52,Low
69,82,101,5.04,37.81,High
57,129,147,7.57,27.22,Low
38,135,66,6.97,25.83,Low
106,134,135,7.78,69.51,Low
19,116,97,6.9,31.61,Medium
67,131,95,8.35,33.7,Medium
30,25,137,7.01,23.79,Low
37,93,127,7.64,77.29,Low
43,51,188,8.01,27.13,Low
17,89,163,7.36,27.32,Low
88,132,90,6.6,76.07,High
96,76,167,5.59,73.06,High
97,46,122,7.92,27.42,Low
78,13,203,6.42,70.53,Medium
96,29,202,6.98,27.49,Low
110,6,30,4.82,15.91,Low
17,23,122,6.49,67.43,Low
86,24,5,7.29,64.01,Medium
96,74,11,6.84,30.63,High
52,21,168,6.29,16.31,Low
138,128,80,5.39,24.45,Low
118,93,91,5.74,63.97,Medium
26,98,157,7.3,77.53,Low
30,88,98,5.4,28.13,Low
67,135,191,6.99,67.28,Medium
119,91,65,6.86,25.96,Low
37,55,33,8.38,57.57,Medium
60,86,99,4.74,15.85,Medium
14,12,22,4.93,50.97,Low
14,125,45,6.52,28.84,Low
103,8,151,6.61,74.81,Low
105,90,136,4.66,30.28,Low
17,132,197,7.8,37.89,Low
73,114,45,6.48,68.85,High
47,103,127,5.89,40.68,Medium
120,41,147,5.78,26.69,Low
121,75,186,7.95,48.33,Low
90,37,196,5.29,68.8,Medium
113,35,204,5.14,40.32,Low
82,129,147,5.35,19.3,Low
58,16,182,7.0,36.82,Medium
45,15,26,7.74,76.81,Low
135,92,150,5.82,15.04,Low
77,76,84,5.19,38.59,High
87,36,134,5.34,55.36,Medium
114,61,40,6.98,15.5,Medium
131,90,24,5.48,34.15,Low
128,23,148,8.01,75.84,Low
123,120,71,4.92,12.14,Low
19,18,124,4.63,62.62,Low
100,37,162,4.85,68.9,Medium
11,14,59,7.88,29.39,Low
127,84,70,7.1,25.03,Medium
22,68,30,8.33,74.04,Medium
104,72,189,5.85,63.48,Medium
41,96,201,5.35,17.94,Low
41,129,134,6.75,24.85,Low
133,84,60,6.65,53.49,High
20,63,194,6.86,39.36,Medium
19,101,38,5.89,45.29,Medium
24,23,60,4.52,76.61,Low
26,26,59,4.64,39.42,Low
68,13,24,7.16,71.72,Medium
87,13,54,6.59,56.25,High
133,31,157,7.78,18.51,Low
123,21,88,5.7,62.12,Medium
31,49,157,7.76,46.41,Low
41,12,57,6.2,25.76,Medium
122,129,146,4.89,30.27,Low
129,127,192,8.41,49.01,Low
131,37,115,6.55,52.12,High
41,5,175,7.02,77.77,Medium
128,10,194,7.18,69.83,Low
48,45,116,5.95,24.41,High
21,9,73,7.49,64.18,Medium
27,84,195,7.98,10.58,Low
135,22,6,6.05,19.09,Low
55,86,186,7.13,23.98,Medium
113,69,20,7.53,51.8,Low
95,87,187,5.26,23.63,Low
98,140,98,5.83,35.57,High
31,135,175,4.94,26.99,Low
101,29,193,6.91,33.62,Low
38,73,170,7.7,75.97,Low
22,86,49,6.94,79.82,High
11,121,130,5.22,58.0,Low
38,99,183,6.69,50.06,Low
36,37,174,7.84,59.59,Low
59,115,28,5.71,64.02,Medium
104,129,119,7.83,61.73,Low
97,20,162,7.64,15.73,Low
53,84,169,4.59,31.72,Medium
31,42,127,5.46,34.04,Low
106,139,185,6.67,35.85,Low
12,82,195,7.37,34.1,Medium
127,67,143,8.02,65.1,Low
28,116,82,7.06,62.33,Medium
32,93,155,6.02,10.32,Low
39,42,121,5.24,30.75,Low
48,56,84,7.54,53.66,High
117,33,54,5.33,18.42,Low
120,80,89,7.28,14.98,Medium
34,68,187,5.22,67.99,Low
137,95,187,4.86,41.69,Low
120,93,8,5.5,69.9,Low
115,17,186,5.64,67.65,Low
81,76,65,7.09,72.54,High
138,9,115,5.14,13.38,Low
117,16,82,8.22,23.03,Low
14,7,87,6.72,30.73,Medium
12,37,137,6.46,19.54,Low
113,125,104,6.24,43.98,Medium
73,54,150,6.77,65.93,High
115,141,176,4.59,76.58,Low
107,33,35,8.46,72.27,Medium
19,43,123,6.73,42.01,Medium
137,95,98,4.64,54.55,Low
55,104,153,6.86,26.15,Low
75,21,179,6.25,38.21,Medium
121,60,34,4.6,70.98,Medium
22,50,59,8.2,12.04,Low
95,71,109,4.54,47.29,High
99,71,200,6.81,71.1,High
67,27,201,8.35,18.54,Low
63,98,45,5.45,78.78,Medium
21,58,177,5.52,10.87,Low
23,142,78,4.5,72.03,Low
130,81,162,4.77,34.76,Low
130,20,81,4.68,19.29,Low
29,45,89,7.79,21.02,Low
84,102,177,7.85,59.08,Low
79,132,108,7.41,70.95,High
65,65,177,5.91,54.87,High
110,90,83,7.79,75.01,Medium
120,122,88,6.66,68.97,Medium
134,104,177,5.72,10.63,Low
29,53,187,6.25,56.86,Medium
33,6,191,4.76,31.32,Low
46,124,137,8.28,41.82,Low
63,127,128,6.98,16.58,Low
112,90,36,7.42,29.75,Medium
47,81,10,7.21,54.29,High
13,140,98,7.17,25.29,Low
66,63,30,4.57,55.33,High
29,16,41,6.6,74.61,Medium
26,8,17,7.79,10.35,Low
128,121,97,4.68,65.0,Low
80,99,201,8.32,54.89,Low
13,129,29,6.2,13.26,Low
23,45,145,5.66,65.31,Medium
12,127,24,6.63,25.72,Low
89,11,76,7.7,28.61,Low
64,73,192,6.4,16.55,Medium
129,73,153,7.08,47.41,Medium
33,85,119,6.5,44.88,High
91,34,131,7.03,34.3,High
69,77,193,5.05,21.81,Low
58,10,30,4.65,68.66,Medium
72,93,58,5.05,71.35,Medium
119,70,174,5.64,47.84,Medium
118,14,143,5.51,27.1,Low
85,41,169,6.96,16.73,Medium
39,81,129,6.32,70.8,Medium
67,81,15,4.66,16.72,Low
126,36,31,4.64,10.92,Low
109,51,98,4.86,42.86,Medium
28,114,87,5.91,61.19,Medium
103,124,38,4.52,42.03,Low
122,14,42,6.48,13.6,Low
72,101,193,5.94,58.3,Medium
125,9,91,6.72,54.96,Medium
122,81,185,7.38,57.71,Medium
56,5,69,5.5,24.78,Medium
66,135,135,5.13,65.7,Low
127,71,199,5.61,43.54,Medium
54,19,160,4.51,47.54,Low
13,97,146,4.98,48.21,Low
56,34,56,7.5,30.08,High
56,107,34,5.39,27.51,Low
87,86,190,8.48,10.33,Low
133,79,186,5.17,37.76,Low
84,64,201,7.66,43.96,Medium
112,44,117,7.32,62.0,High
99,78,147,5.79,14.66,Medium
78,125,170,5.82,74.68,Medium
70,7,146,6.75,28.48,Low
59,40,189,7.91,35.67,Medium
12,47,191,6.04,13.39,Low
116,119,12,4.74,55.72,Low
122,113,76,6.0,59.62,Medium
103,94,151,5.33,75.02,Low
127,88,36,8.26,33.58,Medium
90,81,99,7.29,28.02,High
118,9,161,4.7,60.83,Low
60,82,45,5.67,59.48,High
44,95,79,4.7,75.6,Medium
55,91,49,7.82,24.37,Low
78,18,17,8.13,59.37,Low
102,108,159,4.95,14.68,Low
73,87,23,6.26,43.63,High
58,58,158,8.23,18.36,Low
83,136,57,5.08,55.72,Medium
14,99,183,5.67,52.1,Low
109,13,169,5.72,13.42,Low
79,57,141,4.62,32.37,Medium
99,81,184,4.65,37.65,Medium
13,64,186,8.31,27.36,Low
135,50,7,6.78,12.71,Low
48,58,100,5.73,32.32,High
138,78,201,6.01,65.48,Medium
33,116,140,7.36,35.21,Low
66,99,18,5.97,32.64,Medium
109,27,124,5.41,75.92,Low
79,31,135,4.91,12.91,Low
50,74,156,7.42,63.71,High
69,113,17,5.22,43.82,Low
117,81,175,4.78,76.11,Low
66,54,161,6.21,37.54,High
40,128,76,4.66,59.56,Medium
93,23,183,8.36,14.9,Low
45,5,174,7.01,75.01,Medium
117,44,163,5.11,34.12,Low
115,26,195,5.19,46.68,Low
95,116,158,6.78,19.69,Low
23,44,150,5.93,76.19,Medium
129,42,86,7.6,57.11,Medium
89,52,61,6.68,13.78,High
115,79,11,6.23,20.86,Low
79,111,116,8.35,37.99,Medium
53,12,52,6.06,25.17,Medium
82,90,84,6.1,31.32,High
54,72,123,7.16,79.82,High
116,79,124,7.74,56.11,Low
93,141,64,7.0,74.56,High
91,94,37,7.29,40.51,High
116,134,119,5.99,59.72,Medium
30,84,132,6.42,42.18,Medium
16,99,7,5.29,32.98,Low
79,74,8,7.22,46.34,High
136,94,104,5.39,39.91,Low
129,63,8,4.51,78.64,Low
137,32,46,8.24,44.73,Medium
66,76,13,5.72,66.78,High
67,18,55,5.29,56.68,Medium
30,28,149,5.57,43.57,Low
91,116,149,5.82,43.19,Medium
78,48,101,6.4,33.93,High
96,60,24,4.78,17.49,Low
58,124,146,4.71,63.3,Low
124,36,26,5.67,74.27,Medium
98,29,184,5.68,25.26,Low
94,120,31,4.97,74.8,Medium
137,70,47,6.12,26.26,Medium
126,46,135,5.64,47.11,Medium
136,80,98,4.6,34.05,Medium
80,141,12,8.04,18.02,Low
95,42,90,8.04,13.7,Medium
42,65,93,5.34,35.57,High
90,93,142,5.15,13.31,Low
70,22,117,6.69,17.29,Medium
70,74,161,7.02,19.96,Medium
107,86,172,8.33,10.13,Low
37,120,197,6.01,20.73,Low
52,84,25,6.97,50.41,High
95,19,156,8.01,67.37,Low
26,17,192,6.3,23.54,Low
107,123,158,4.99,15.66,Low
107,47,13,6.01,61.07,Medium
74,61,152,5.05,10.57,Low
83,21,188,4.57,61.39,Low
94,36,40,7.51,19.18,Medium
14,59,40,5.45,25.98,Low
11,17,77,4.51,18.4,Low
31,51,154,7.99,27.31,Low
121,91,5,6.28,65.87,Low
66,66,73,5.46,19.28,Medium
75,33,41,5.55,79.59,High
83,26,76,5.46,32.9,Medium
107,69,111,5.28,74.54,Medium
121,33,100,7.86,23.3,Low
134,52,145,5.18,23.15,Low
95,9,88,6.75,49.57,High
85,105,47,4.81,13.54,Low
97,75,41,8.3,66.07,High
47,142,29,6.91,40.77,Medium
68,70,153,8.11,58.94,Medium
108,76,173,6.09,22.22,Low
72,29,77,7.74,54.97,Medium
58,64,174,7.91,51.58,Medium
41,44,46,7.31,62.9,High
30,11,6,4.87,30.82,Low
29,50,200,4.56,75.32,Low
136,90,140,5.17,77.29,Low
77,25,100,4.97,70.77,Medium
119,5,65,7.4,50.04,Medium
125,127,18,6.73,39.42,Low
129,129,117,6.6,14.06,Low
88,37,81,5.51,76.31,High
125,8,25,5.12,76.62,Low
101,7,156,5.33,11.31,Low
23,95,182,6.1,34.98,Low
134,56,177,7.46,71.6,Medium
67,32,196,5.52,15.66,Medium
37,74,68,7.29,23.76,Medium
35,61,158,6.47,78.51,Medium
122,112,164,8.04,69.31,Low
75,28,61,5.43,73.84,Medium
53,81,123,6.3,19.95,Medium
106,80,185,4.89,24.79,Low
51,73,165,5.84,52.38,High
15,105,56,6.53,45.12,Medium
32,96,99,7.43,30.9,Medium
98,96,150,5.29,71.87,Low
132,34,167,5.37,73.1,Low
60,22,144,7.03,30.42,Medium
20,48,183,6.03,20.9,Low
21,103,93,6.43,20.44,Low
83,125,14,7.84,43.91,Low
17,119,56,6.5,19.3,Low
50,64,38,7.11,43.13,High
94,60,119,7.13,42.34,High
81,35,199,7.71,71.89,Medium
64,105,171,7.05,30.73,Medium
56,63,140,4.76,49.25,Medium
113,128,129,5.87,62.04,Low
51,134,161,8.46,51.71,Low
69,101,154,5.29,76.78,Low
21,111,202,6.85,52.16,Low
139,22,193,7.87,73.13,Low
16,75,47,6.85,27.15,Medium
89,110,181,5.99,49.25,Medium
118,58,33,4.82,48.03,Medium
12,98,110,5.95,79.26,Medium
36,80,124,5.23,24.32,Low
123,39,85,8.34,19.87,Low
116,15,35,7.36,52.82,Medium
49,65,185,7.5,25.66,Medium
138,48,166,6.24,54.74,Medium
17,125,132,4.94,78.07,Low
110,72,42,5.57,76.26,High
133,29,189,5.54,26.18,Low
116,88,105,6.45,21.96,Medium
110,118,136,6.34,49.25,Low
13,136,134,6.23,51.07,Low
119,5,16,6.48,56.36,Low
28,135,39,8.45,61.9,Low
41,90,202,5.69,52.07,High
21,66,114,6.96,17.82,Medium
55,68,76,5.46,65.31,High
128,130,153,6.37,15.57,Low
25,109,114,5.3,11.4,Low
138,66,65,6.73,63.88,High
72,39,167,5.56,48.39,High
118,17,52,4.65,58.9,Low
128,47,147,7.76,36.79,Low
30,134,75,5.01,10.78,Low
22,115,147,5.97,33.17,Low
13,132,138,6.41,52.57,Low
111,55,72,6.23,25.8,Medium
68,139,26,7.4,58.15,Medium
137,49,36,6.89,65.61,High
36,46,127,5.68,41.8,Medium
78,139,26,4.71,71.3,Low
34,19,159,7.57,69.84,Low
106,64,114,5.91,71.46,High
34,44,19,8.06,56.27,Low
135,116,128,6.08,31.34,Low
18,81,48,7.37,43.69,High
125,109,119,8.26,59.74,Low
69,111,13,7.1,24.74,Low
130,126,38,6.15,61.72,Medium
117,84,77,6.77,48.37,High
117,129,147,6.67,16.72,Low
85,138,194,6.84,49.01,Medium
39,36,49,5.09,14.67,Low
30,112,76,7.29,11.0,Low
43,118,62,5.08,72.27,Medium
50,72,119,4.56,44.29,High
60,131,23,7.0,48.03,Medium
91,139,20,4.97,29.6,Low
67,118,79,7.58,47.99,Medium
84,12,110,7.96,21.82,Low
32,68,140,8.28,62.2,Low
137,139,165,7.16,67.63,Low
26,45,78,6.43,69.91,High
78,44,22,5.91,17.47,Medium
117,7,167,6.46,49.04,Low
103,114,47,5.26,66.61,Low
24,118,54,5.89,18.98,Low
100,116,7,7.37,16.97,Low
42,8,63,5.37,67.19,Medium
134,138,32,5.56,65.77,Medium
25,30,50,7.5,41.41,High
75,143,68,5.21,17.68,Low
56,21,74,5.48,46.13,Medium
133,96,51,4.57,37.64,Low
10,35,146,7.38,46.3,Medium
96,111,139,6.97,40.79,Medium
137,115,163,7.28,49.8,Low
76,105,110,5.36,60.9,Medium
13,116,85,7.25,64.24,Medium
56,66,55,6.89,55.43,High
47,116,33,5.96,23.93,Medium
30,120,117,6.25,37.8,Medium
66,39,147,6.77,14.99,Medium
126,32,132,6.47,41.62,Medium
55,107,94,7.07,77.92,High
48,129,29,5.22,54.92,Low
108,106,193,6.66,20.82,Low
86,141,45,6.3,28.8,Medium
124,25,73,6.34,14.52,Low
100,56,8,6.38,22.77,Medium
107,101,109,8.03,44.15,Low
129,55,189,7.77,34.14,Low
55,87,35,7.02,24.28,High
47,59,135,7.37,20.26,Medium
109,81,121,4.67,55.92,Low
81,131,199,7.48,49.07,Medium
44,97,94,6.44,68.98,High
39,92,182,5.77,22.83,Low
87,84,149,5.06,69.36,Medium
93,96,192,4.8,50.45,Low
122,51,70,4.68,28.64,Low
34,42,92,5.15,29.15,Low
97,143,28,4.62,37.33,Low
23,19,103,7.43,42.21,Medium
111,5,164,5.49,15.78,Low
92,139,109,5.97,68.94,High
119,5,23,7.79,18.51,Low
28,53,70,4.96,43.84,Medium
37,100,64,7.84,36.81,Low
80,30,119,7.06,45.86,High
72,91,198,5.87,72.12,Medium
82,97,19,4.97,79.24,Low
133,106,89,4.87,11.42,Low
128,75,167,5.84,37.53,Medium
130,144,201,5.06,67.23,Low
28,99,159,5.57,32.86,Low
129,122,92,4.71,55.43,Low
70,123,11,6.88,79.46,Medium
39,55,10,5.08,55.27,Low
18,85,129,7.53,17.78,Low
73,40,37,5.37,69.01,High
129,71,62,7.69,77.67,Medium
61,133,181,5.26,59.88,Low
98,118,149,7.39,39.33,Medium
62,115,114,5.83,76.39,High
87,104,46,6.83,77.8,High
50,113,98,4.65,75.46,Medium
77,124,204,6.48,38.83,Medium
17,83,172,5.09,65.28,Low
11,138,178,6.45,55.79,Low
114,23,203,5.07,22.58,Low
134,131,202,6.25,47.49,Low
119,33,200,4.94,62.34,Low
95,28,133,5.38,72.71,Low
129,14,83,6.88,70.38,Medium
136,109,99,8.41,20.83,Low
25,59,115,6.3,44.16,High
71,6,101,7.25,43.48,High
122,139,184,6.66,72.91,Low
21,115,167,6.49,10.14,Low
44,42,123,4.76,61.71,Medium
20,135,73,5.08,53.3,Low
73,106,137,8.03,74.51,Low
59,99,149,6.14,41.98,Medium
78,96,185,6.96,56.04,Medium
57,75,56,6.61,78.09,High
29,28,146,6.02,62.07,Low
110,72,126,6.05,14.72,Low
77,132,33,6.72,21.73,Medium
44,97,140,5.06,67.5,Low
74,48,108,6.05,33.44,High
17,137,5,6.29,59.41,Low
54,59,33,8.44,58.99,High
96,33,168,5.91,79.56,High
85,41,183,7.08,42.89,High
85,119,169,5.05,61.65,Low
56,7,73,4.76,13.41,Low
24,126,57,7.99,42.38,Low
114,47,128,7.42,23.07,Low
35,11,184,5.77,68.84,Low
61,129,92,6.52,68.79,High
102,53,87,5.04,26.55,Low
30,125,16,7.33,32.28,Low
60,77,56,4.78,59.17,High
47,45,133,7.53,61.68,Medium
29,110,139,6.69,56.03,Low
64,81,149,5.62,79.77,High
101,131,131,7.95,70.81,Low
37,95,175,8.44,39.19,Low
13,12,75,5.52,32.89,Medium
85,36,21,7.72,51.78,Medium
76,68,191,7.5,67.23,High
95,142,7,7.49,43.27,Medium
100,17,33,8.33,61.64,Medium
114,97,26,6.45,11.34,Low
10,65,170,7.2,74.81,Medium
81,12,58,7.8,64.17,Medium
96,33,111,6.42,37.59,High
15,99,182,6.43,36.88,Low
70,45,73,5.77,17.2,High
21,15,162,7.62,67.13,Low
15,6,155,7.24,63.8,Low
36,135,124,6.3,54.12,Low
133,84,51,6.18,17.1,Medium
115,91,153,4.79,28.36,Low
102,110,24,4.53,42.12,Low
118,143,155,6.62,28.62,Low
108,21,200,6.17,40.38,Low
44,27,153,7.68,25.82,Low
93,52,25,6.67,34.47,High
65,24,5,8.25,55.66,Low
58,6,147,5.28,72.47,Low
55,92,21,8.46,36.95,Low
122,35,55,5.69,58.43,High
52,134,195,7.07,19.44,Low
133,82,18,6.51,47.86,Medium
106,8,63,5.94,74.52,Medium
99,132,87,5.06,11.96,Low
48,138,54,5.04,28.73,Low
94,35,128,7.35,19.27,Medium
71,142,38,6.01,47.32,High
115,25,10,8.35,57.57,Low
116,27,113,5.8,14.04,Low
63,135,53,8.43,14.92,Low
135,33,10,5.32,70.87,Low
18,109,121,4.91,41.94,Low
97,56,122,5.75,42.41,High
46,119,201,8.04,76.12,Low
58,105,11,6.59,32.41,Medium
50,88,101,5.04,72.79,High
26,65,183,5.31,78.2,Low
97,129,122,5.75,26.92,Low
30,75,133,6.86,45.98,Medium
60,74,145,5.83,47.4,High
68,143,175,7.49,70.63,Medium
50,112,31,6.97,31.27,High
48,25,203,8.0,65.86,Low
20,135,120,6.5,77.97,Medium
86,86,135,5.82,68.82,High
136,92,62,8.49,73.64,Low
55,115,93,5.92,59.58,High
54,14,101,6.21,73.28,High
10,16,21,7.74,21.54,Low
117,11,177,4.85,59.87,Low
28,118,105,6.05,61.23,Medium
85,30,190,4.84,40.74,Medium
81,19,188,5.06,15.58,Low
118,37,186,4.52,53.57,Low
21,66,33,4.54,13.63,Low
54,51,106,6.02,36.77,High
99,99,127,7.74,37.56,Low
112,39,58,6.85,79.92,High
17,80,31,7.04,30.99,High
100,127,106,6.58,67.43,High
96,87,121,7.78,13.72,Low
93,29,108,8.02,47.08,Medium
91,61,49,7.9,47.57,High
77,36,118,7.75,54.01,High
136,67,91,5.23,66.7,Medium
91,16,35,6.88,63.33,High
93,67,168,6.83,63.27,High
122,81,193,6.61,40.26,Medium
85,96,41,6.42,60.92,High
131,5,199,4.86,44.39,Low
50,74,40,4.91,14.69,Medium
11,140,123,8.11,72.31,Low
38,137,9,7.02,72.31,Low
114,90,178,5.55,32.6,Medium
60,43,56,5.62,73.97,High
84,27,53,6.94,63.06,High
19,72,10,6.13,38.06,Medium
60,8,127,6.27,33.21,Medium
127,130,142,4.74,78.26,Low
130,25,122,5.05,59.88,Low
48,109,27,6.07,36.52,Medium
37,70,149,7.3,54.94,Medium
12,11,114,4.69,50.01,Low
93,53,48,5.84,46.72,High
126,20,45,7.28,55.13,Medium
11,88,147,7.67,47.63,Low
102,91,176,5.26,55.84,Low
103,102,190,7.43,73.53,Low
49,79,54,8.32,79.53,High
11,38,56,8.13,59.65,Medium
90,30,74,7.66,74.95,High
21,70,200,7.35,70.09,Medium
74,129,195,5.44,30.65,Low
64,67,190,7.04,75.3,High
54,91,155,7.07,14.96,Low
110,45,176,6.13,33.09,Medium
71,102,113,6.47,54.8,High
58,128,122,7.28,46.88,Medium
136,83,113,8.31,47.97,Medium
32,14,99,5.68,65.64,Medium
47,19,48,5.49,23.63,Low
37,46,184,6.91,78.75,Medium
30,97,71,5.02,40.62,Low
116,21,160,6.83,76.49,Low
108,13,71,4.86,36.82,Low
128,118,22,6.46,52.13,Low
82,40,159,6.98,41.52,High
131,40,183,4.78,57.32,Low
39,52,64,5.33,22.85,Low
117,55,78,5.84,38.04,High
107,101,53,5.97,14.79,Low
41,123,19,7.2,51.87,Medium
88,99,77,6.62,77.39,High
50,74,200,6.03,13.21,Medium
72,78,147,6.3,56.17,High
32,84,183,4.55,64.26,Low
113,72,52,7.58,24.92,Low
84,81,76,4.66,29.12,Medium
57,120,117,7.82,24.11,Low
66,10,133,6.66,30.82,Medium
127,79,139,6.61,17.71,Low
109,92,57,7.32,35.92,Medium
133,7,163,7.94,35.83,Low
43,56,22,8.27,66.51,Medium
16,78,16,6.67,66.07,Medium
65,129,52,5.1,65.77,Medium
74,69,34,8.01,49.69,High
56,56,101,4.66,32.81,High
28,80,11,7.73,38.77,Low
135,93,96,7.22,32.24,Medium
58,76,117,8.12,50.73,High
122,72,7,8.09,75.66,Low
47,142,111,4.71,29.91,Low
73,119,67,6.94,42.12,High
78,61,138,5.0,55.86,Medium
125,70,106,4.81,69.13,Medium
74,94,19,6.29,27.73,Low
40,54,203,4.89,29.62,Low
122,18,175,7.41,71.96,Low
118,20,95,8.38,15.62,Low
78,46,85,6.78,52.38,High
129,114,150,5.44,70.23,Low
97,26,154,7.87,74.52,Low
76,72,65,7.91,10.89,Medium
84,23,124,7.43,35.88,Medium
54,70,65,6.96,28.01,High
13,77,57,7.97,49.76,Medium
116,58,30,5.15,54.3,Medium
60,116,119,8.23,79.98,Medium
59,22,44,8.29,45.89,Medium
15,121,92,7.99,48.6,Low
68,89,120,5.5,39.0,High
134,143,140,7.93,20.34,Low
39,43,25,6.49,31.23,Medium
131,109,47,6.88,27.29,Low
134,72,25,7.86,66.09,Low
46,29,135,4.62,48.21,Low
